country,iso_code,year,region,income_group,crop,area_harvested_ha,production_tonnes,yield_kg_ha,fertilizer_use_kg_ha,irrigation_pct,avg_temp_weather,avg_min_temp,avg_max_temp,avg_precipitation,avg_rain,avg_transp,annual_gdd,annual_precip_total,daily_precip_sd,extreme_hot_days,extreme_cold_days,extreme_temp_days,daily_precip_cv,extreme_hot32_days,extreme_hot35_days
Nepal,NPL,2018,South Asia,Low income,Maize,1700349,7207406.1,,26.85,13.1,13.0745,9.3123,16.6227,13.9115,13.9107,2.5108,1400.15,5077.7,24.4443,0,8,8,1.7571,0,0
Thailand,THA,2018,Southeast Asia,Upper middle income,Soybeans,2570267,9239271.18,3594.67,104.56,31.1,26.6553,23.1781,30.9016,4.7893,4.7893,3.8562,6219.55,1748.1,7.2886,260,0,260,1.5218,89,10
Mexico,MEX,2019,Central America,Upper middle income,Rice,3248274,20411305.16,6283.74,86.84,,19.1479,11.9386,26.6912,0.7589,0.7586,5.5609,3407.75,277.0,2.8407,76,0,76,3.7431,12,0
China,CHN,2023,East Asia,Upper middle income,Wheat,1504521,7946473.93,5281.73,91.73,36.0,9.0775,3.4904,15.3403,1.0844,0.9438,3.1891,1369.0,395.8,2.8963,12,148,160,2.6709,1,0
Nigeria,NGA,2023,Sub-Saharan Africa,Lower middle income,Maize,3184591,20001713.87,6280.78,97.53,30.7,25.3277,21.0395,30.583,2.8392,2.8392,4.4198,5771.1,1036.3,5.6663,194,0,194,1.9957,112,20
Canada,CAN,2022,North America,High income,Soybeans,3348814,21455564.16,6406.91,185.81,42.6,-0.7266,-5.1775,3.8693,1.0395,0.5811,1.7879,730.15,379.4,2.3371,1,207,208,2.2484,0,0
Japan,JPN,2020,East Asia,High income,Rice,3358073,37585931.75,11192.71,194.91,32.9,9.9795,6.0784,14.7268,4.8161,4.2292,2.3959,1447.75,1762.7,9.8478,3,122,125,2.0448,0,0
Ethiopia,ETH,2017,Sub-Saharan Africa,Low income,Maize,187540,1395000.71,7438.42,25.72,11.0,23.7301,18.497,29.9836,1.0805,1.0805,5.7043,5197.7,394.4,2.4707,179,0,179,2.2866,83,1
India,IND,2023,South Asia,Lower middle income,Rice,2295326,17860617.64,7781.3,66.44,31.7,27.3173,22.1712,33.1329,3.211,3.211,4.9701,6443.0,1172.0,8.6904,281,0,281,2.7065,178,96
South Africa,ZAF,2018,Sub-Saharan Africa,Upper middle income,Rice,3690293,25860280.47,7007.65,129.89,40.7,18.1312,10.569,25.3093,0.4537,0.4471,6.003,2997.85,165.6,2.2085,114,13,127,4.8678,86,38
China,CHN,2022,East Asia,Upper middle income,Soybeans,1099738,5986207.97,5443.3,165.47,32.6,9.2342,3.7841,15.4315,1.1975,1.0964,3.1404,1399.3,437.1,3.4377,21,129,150,2.8707,5,0
Ethiopia,ETH,2023,Sub-Saharan Africa,Low income,Maize,1106986,6458970.94,5834.74,33.4,8.9,23.0003,17.7863,28.9726,2.7405,2.7405,5.2186,4883.5,1000.3,5.9112,140,0,140,2.157,39,0
Morocco,MAR,2023,North Africa,Lower middle income,Maize,1495159,14815516.0,9908.99,71.69,19.4,20.3392,13.2485,28.0247,0.7819,0.7819,4.8053,3917.9,285.4,3.0705,145,4,149,3.9268,111,75
Nepal,NPL,2017,South Asia,Low income,Soybeans,852081,2468526.01,2897.06,31.13,,13.6611,9.9079,17.1685,12.9249,12.9247,2.6576,1537.1,4717.6,21.6627,0,8,8,1.676,0,0
Nepal,NPL,2021,South Asia,Low income,Rice,1422624,6616697.6,4651.05,31.71,7.5,13.5712,10.1288,16.9079,13.9682,13.9625,2.4621,1547.8,5098.4,27.1614,0,9,9,1.9445,0,0
Australia,AUS,2021,Oceania,High income,Soybeans,3041987,19919536.97,6548.2,189.93,43.4,22.0468,15.2403,28.4674,0.6992,0.6992,6.5512,4331.45,255.2,3.6932,154,0,154,5.2823,120,85
Tanzania,TZA,2019,Sub-Saharan Africa,Low income,Wheat,1986094,,,29.74,15.9,23.2485,18.1671,29.1181,2.2795,2.2795,5.2228,4979.55,832.0,5.8518,132,0,132,2.5672,33,0
Thailand,THA,2019,Southeast Asia,Upper middle income,Maize,2856816,23159227.78,8106.66,156.34,25.0,27.4975,23.5627,32.1,4.5819,4.5819,4.2738,6508.45,1672.4,9.4666,302,0,302,2.0661,165,57
Japan,JPN,2015,East Asia,High income,Wheat,6119853,45065254.2,7363.78,,52.7,9.9759,5.8463,14.649,3.3241,2.8693,2.4101,1411.65,1213.3,6.1668,7,113,120,1.8552,0,0
Vietnam,VNM,2017,Southeast Asia,Lower middle income,Maize,3807832,34990147.19,9188.99,74.38,36.4,21.8011,18.7236,26.4049,4.32,4.32,3.5445,4585.95,1576.8,8.116,26,0,26,1.8787,8,0
Thailand,THA,2020,Southeast Asia,Upper middle income,Wheat,3173916,15780271.23,4971.86,135.43,30.5,27.2489,23.3872,31.6694,4.7413,4.7413,4.2316,6415.35,1735.3,9.0819,282,0,282,1.9155,153,34
India,IND,2019,South Asia,Lower middle income,Maize,2409632,19411615.13,8055.84,93.37,27.9,27.9822,23.1671,33.2934,4.3586,4.3586,4.9252,6654.05,1590.9,12.0157,243,0,243,2.7568,149,116
Indonesia,IDN,2021,Southeast Asia,Lower middle income,Maize,4802041,42857198.72,8924.79,64.77,18.8,25.6805,22.8586,30.2296,13.5392,13.5392,3.4017,6038.6,4941.8,14.8496,229,0,229,1.0968,41,0
Pakistan,PAK,2015,South Asia,Lower middle income,Wheat,4743547,21192267.36,4467.6,72.95,19.2,18.7816,12.6214,24.8762,0.8553,0.8553,4.7112,3391.7,312.2,2.2465,135,24,159,2.6264,85,19
Bangladesh,BGD,2015,South Asia,Lower middle income,Maize,637815,3943633.92,6183.04,98.85,19.6,25.3162,21.9564,29.3537,5.6416,5.6416,3.4115,5714.1,2059.2,10.1981,173,0,173,1.8076,72,0
Vietnam,VNM,2015,Southeast Asia,Lower middle income,Soybeans,906580,3843946.31,4240.05,74.56,26.0,22.8712,19.6775,27.6351,3.7216,3.7216,3.7785,4984.55,1358.4,7.3182,59,0,59,1.9664,17,0
Pakistan,PAK,2018,South Asia,Lower middle income,Maize,2602588,19301040.08,7416.1,90.13,26.7,20.6052,13.7255,27.0153,0.5208,0.5203,5.1345,3896.2,190.1,1.7786,153,24,177,3.415,119,71
Ukraine,UKR,2016,Europe,Lower middle income,Wheat,1314026,5978954.86,4550.1,49.74,32.8,9.8194,5.915,13.6044,1.9418,1.626,2.3381,1527.25,710.7,4.5891,21,109,130,2.3633,6,0
Pakistan,PAK,2023,South Asia,Lower middle income,Rice,2092700,15146133.11,7237.6,83.72,23.1,19.9595,13.5285,26.3296,0.9258,0.9247,4.8623,3761.95,337.9,2.8803,136,19,155,3.1113,114,68
Canada,CAN,2015,North America,High income,Maize,65448,974685.58,14892.52,226.19,22.2,1.3082,-2.8373,5.5384,1.0197,0.7532,1.9075,755.65,372.2,2.385,0,190,190,2.3388,0,0
India,IND,2023,South Asia,Lower middle income,Maize,763933,7438880.29,9737.61,90.59,24.7,27.3173,22.1712,33.1329,3.211,3.211,4.9701,6443.0,1172.0,8.6904,281,0,281,2.7065,178,96
South Korea,KOR,2018,East Asia,High income,Maize,3702316,39008157.01,10536.15,229.59,23.5,10.2699,6.3312,14.7304,3.3233,2.9658,2.5105,1724.65,1213.0,9.5516,23,111,134,2.8741,7,0
Philippines,PHL,2016,Southeast Asia,Lower middle income,Wheat,4428850,21791291.98,4920.3,72.09,22.4,27.4902,26.373,28.5803,6.8495,6.8495,3.8906,6396.45,2506.9,13.1545,12,0,12,1.9205,0,0
France,FRA,2023,Europe,High income,Maize,5109289,73640763.98,14413.11,127.64,33.5,12.06,8.0285,16.4353,2.726,2.6526,2.3817,1489.1,995.0,4.8998,15,46,61,1.7974,5,0
Nepal,NPL,2019,South Asia,Low income,Wheat,1134997,4449905.97,3920.63,17.1,7.7,13.1301,9.3658,16.703,12.4677,12.4342,2.6228,1518.05,4550.7,21.125,0,19,19,1.6944,0,0
Viet Nam,VNM,2023,Southeast Asia,Lower middle income,Rice,3478717,24752858.37,7115.51,57.31,27.1,22.14,18.8268,27.1679,4.4036,4.4036,3.8249,4744.05,1607.3,7.0257,44,0,44,1.5955,11,0
Germany,DEU,2016,Europe,High income,Maize,4626517,48688612.94,10523.82,202.14,34.2,9.7787,6.1628,13.2514,1.5891,1.4923,1.8959,1128.85,581.6,2.8673,8,74,82,1.8044,1,0
Mexico,MEX,2020,Central America,Upper middle income,Wheat,1161061,8175697.69,7041.57,187.25,26.8,18.8077,11.6328,26.368,0.8721,0.8716,5.5003,3310.55,319.2,3.1615,72,3,75,3.625,12,0
Bangladesh,BGD,2015,South Asia,Lower middle income,Wheat,3028064,15932350.84,5261.56,72.0,30.1,25.3162,21.9564,29.3537,5.6416,5.6416,3.4115,5714.1,2059.2,10.1981,173,0,173,1.8076,72,0
Mexico,MEX,2019,Central America,Upper middle income,Soybeans,2208034,11083437.0,5019.6,150.16,37.4,19.1479,11.9386,26.6912,0.7589,0.7586,5.5609,3407.75,277.0,2.8407,76,0,76,3.7431,12,0
Bangladesh,BGD,2016,South Asia,Lower middle income,Rice,1305350,7268427.15,5568.18,57.13,31.5,25.7891,22.5257,29.8161,4.9317,4.9317,3.495,5918.55,1805.0,10.1781,212,0,212,2.0638,87,12
France,FRA,2015,Europe,High income,Wheat,2807742,26522107.06,9446.06,160.93,21.8,11.7351,8.0285,15.7419,1.5115,1.4567,2.3982,1353.55,551.7,3.2162,19,37,56,2.1278,5,3
Nepal,NPL,2016,South Asia,Low income,Rice,682303,3536922.89,5183.8,17.92,8.6,12.3396,8.3978,15.9437,16.0055,16.0005,2.4404,1203.55,5858.0,26.7192,0,31,31,1.6694,0,0
Canada,CAN,2021,North America,High income,Maize,5161581,71991489.97,13947.57,228.74,46.1,0.3611,-4.1219,4.9159,1.3359,0.851,1.7221,720.15,487.6,2.9578,7,208,215,2.2141,4,0
Turkey,TUR,2023,Middle East,Upper middle income,Maize,1661276,17285809.85,10405.14,93.73,46.3,11.4573,5.8918,17.6822,1.5847,1.3877,3.451,1623.8,578.4,3.5556,41,77,118,2.2438,23,7
Germany,DEU,2018,Europe,High income,Wheat,3162384,24482625.98,7741.83,160.11,46.3,10.6093,6.3592,14.8644,1.3452,1.2079,2.3154,1405.0,491.0,3.2246,15,79,94,2.3971,7,0
Tanzania,TZA,2015,Sub-Saharan Africa,Low income,Rice,967271,4982493.99,5151.08,24.26,11.4,23.1597,17.7485,28.8438,1.6077,1.6077,5.3894,4853.1,586.8,4.219,103,0,103,2.6243,19,0
Turkey,TUR,2023,Middle East,Upper middle income,Rice,3905001,32687396.06,8370.65,,28.3,11.4573,5.8918,17.6822,1.5847,1.3877,3.451,1623.8,578.4,3.5556,41,77,118,2.2438,23,7
Ethiopia,ETH,2015,Sub-Saharan Africa,Low income,Rice,606170,3452477.7,5695.56,21.27,11.3,24.2912,18.4444,30.4879,0.7655,0.7655,5.5902,5280.15,279.4,2.2791,230,0,230,2.9773,112,0
Ethiopia,ETH,2017,Sub-Saharan Africa,Low income,Wheat,800397,3177260.16,3969.61,18.97,13.5,23.7301,18.497,29.9836,1.0805,1.0805,5.7043,5197.7,394.4,2.4707,179,0,179,2.2866,83,1
Argentina,ARG,2018,South America,Upper middle income,Wheat,2915440,12342914.22,4233.64,135.51,32.2,16.4055,11.6266,21.8044,1.1211,1.1211,4.1493,2636.15,409.2,3.2193,58,5,63,2.8715,42,16
Mexico,MEX,2017,Central America,Upper middle income,Wheat,153499,773812.38,5041.16,148.93,31.5,18.5619,11.566,26.0614,0.8589,0.8564,5.4098,3242.1,313.5,2.6801,55,3,58,3.1204,19,0
Thailand,THA,2016,Southeast Asia,Upper middle income,Soybeans,1015908,3536992.71,3481.61,134.95,13.7,27.4148,23.5516,31.876,4.1459,4.1459,4.2855,6483.25,1517.4,7.9783,274,0,274,1.9244,126,64
Philippines,PHL,2018,Southeast Asia,Lower middle income,Rice,3493729,26305482.38,7529.34,65.41,22.1,27.4137,26.5112,28.2995,4.8764,4.8764,4.2724,6352.95,1779.9,8.9792,5,0,5,1.8413,0,0
Thailand,THA,2021,Southeast Asia,Upper middle income,Wheat,3096985,18594523.08,6004.07,122.72,32.8,26.5279,22.7701,31.0112,5.8847,5.8847,4.161,6165.1,2147.9,10.7999,252,0,252,1.8353,105,11
South Korea,KOR,2019,East Asia,High income,Maize,4742030,41586492.11,8769.77,165.48,37.7,10.7093,6.866,15.1655,3.429,3.3323,2.4951,1685.65,1251.6,9.5393,3,116,119,2.7819,0,0
Thailand,THA,2017,Southeast Asia,Upper middle income,Maize,2970787,20063636.13,6753.64,,36.5,26.6688,23.286,30.774,5.6323,5.6323,3.9499,6215.95,2055.8,9.0535,226,0,226,1.6074,93,14
USA,USA,2019,North America,High income,Soybeans,4531695,25602908.8,5649.74,221.04,26.5,11.2392,6.2805,16.6364,1.9748,1.6945,3.3188,2126.85,720.8,4.7946,58,131,189,2.4279,37,10
Morocco,MAR,2022,North Africa,Lower middle income,Wheat,1831002,8929644.48,4876.92,76.78,28.1,20.6101,13.7496,28.089,0.9433,0.9425,4.9191,3989.05,344.3,3.5334,145,0,145,3.7459,113,76
United States,USA,2021,North America,High income,Soybeans,2897918,15634393.34,5395.04,255.54,40.9,13.0627,7.794,18.6436,1.6808,1.5504,3.7544,2368.4,613.5,6.5685,75,94,169,3.9079,49,17
Argentina,ARG,2021,South America,Upper middle income,Wheat,2538370,17345982.15,6833.51,162.32,16.3,16.4764,11.6022,22.014,1.3033,1.3014,4.0541,2627.85,475.7,4.0011,55,3,58,3.07,35,9
Australia,AUS,2015,Oceania,High income,Rice,4371262,36311367.34,8306.84,244.9,54.6,22.531,15.5605,28.9545,0.5471,0.5471,6.6599,4483.2,199.7,4.0163,180,0,180,7.3407,167,106
Nepal,NPL,2020,South Asia,Low income,Wheat,783233,4266499.7,5447.29,23.3,11.6,13.0191,9.4276,16.5265,13.9675,13.9667,2.4711,1491.65,5112.1,21.2437,0,16,16,1.5209,0,0
Brazil,BRA,2018,South America,Upper middle income,Soybeans,2973279,16278485.71,5474.93,116.23,34.9,26.2425,21.5504,32.1036,2.6715,2.6715,4.2857,6141.85,975.1,5.1964,298,0,298,1.9451,178,46
India,IND,2021,South Asia,Lower middle income,Maize,3659204,34493159.98,9426.41,87.54,27.9,27.149,22.2748,32.5912,3.0644,3.0644,4.6325,6363.05,1118.5,7.6058,272,0,272,2.482,151,93
Kenya,KEN,2017,Sub-Saharan Africa,Low income,Maize,2316348,,,25.74,11.3,25.1364,20.5082,30.874,1.5129,1.5129,5.1802,5727.25,552.2,3.5291,234,0,234,2.3327,102,1
Nigeria,NGA,2020,Sub-Saharan Africa,Lower middle income,Rice,3112372,14171555.96,4553.3,66.33,27.2,25.7087,21.4995,30.7869,3.6607,3.6607,4.5096,5908.4,1339.8,9.1401,220,0,220,2.4968,153,32
Vietnam,VNM,2020,Southeast Asia,Lower middle income,Wheat,816819,2894693.71,3543.86,91.46,18.8,22.2336,18.729,27.2795,5.1279,5.1279,3.9207,4759.55,1876.8,12.3804,55,0,55,2.4143,21,1
Indonesia,IDN,2022,Southeast Asia,Lower middle income,Rice,4341513,33690390.7,7760.06,61.97,24.1,25.6751,22.5773,30.7822,15.1948,15.1948,3.6235,6088.1,5546.1,13.3066,272,0,272,0.8757,76,0
Bangladesh,BGD,2018,South Asia,Lower middle income,Soybeans,4194732,10650034.32,,61.97,23.8,24.8129,20.9523,29.5811,4.5266,4.5266,3.4489,5572.35,1652.2,8.5726,213,0,213,1.8938,86,2
Uganda,UGA,2019,Sub-Saharan Africa,Low income,Rice,800762,3970290.69,4958.14,26.05,5.1,23.2178,18.8099,28.6893,3.9595,3.9595,4.2364,5018.6,1445.2,5.1764,104,0,104,1.3074,75,15
Nepal,NPL,2017,South Asia,Low income,Wheat,1851382,9063316.83,4895.43,20.92,11.6,13.6611,9.9079,17.1685,12.9249,12.9247,2.6576,1537.1,4717.6,21.6627,0,8,8,1.676,0,0
Vietnam,VNM,2017,Southeast Asia,Lower middle income,Soybeans,3216783,10708766.75,3329.03,78.79,30.3,21.8011,18.7236,26.4049,4.32,4.32,3.5445,4585.95,1576.8,8.116,26,0,26,1.8787,8,0
Indonesia,IDN,2017,Southeast Asia,Lower middle income,Soybeans,2247200,7086527.88,3153.49,104.68,19.3,25.6304,22.9997,29.9627,12.0337,12.0337,3.2431,6015.65,4392.3,10.4717,187,0,187,0.8702,32,0
Pakistan,PAK,2020,South Asia,Lower middle income,Rice,3797955,28731254.06,7564.93,62.2,11.8,19.1874,12.7705,25.282,1.2276,1.2251,4.7705,3585.0,449.3,3.8682,145,35,180,3.1511,108,50
Vietnam,VNM,2023,Southeast Asia,Lower middle income,Wheat,1551317,8442414.52,5442.1,81.73,32.8,22.14,18.8268,27.1679,4.4036,4.4036,3.8249,4744.05,1607.3,7.0257,44,0,44,1.5955,11,0
China,CHN,2023,East Asia,Upper middle income,Soybeans,4356625,20272626.66,4653.29,141.6,,9.0775,3.4904,15.3403,1.0844,0.9438,3.1891,1369.0,395.8,2.8963,12,148,160,2.6709,1,0
Nepal,NPL,2020,South Asia,Low income,Rice,318146,1661318.25,5221.87,23.7,10.7,13.0191,9.4276,16.5265,13.9675,13.9667,2.4711,1491.65,5112.1,21.2437,0,16,16,1.5209,0,0
Bangladesh,BGD,2023,South Asia,Lower middle income,Wheat,777248,4522703.19,5818.87,79.81,20.8,25.6899,21.5203,30.9107,5.0989,5.0989,3.8263,5918.65,1861.1,11.6131,239,0,239,2.2776,157,41
South Africa,ZAF,2020,Sub-Saharan Africa,Upper middle income,Rice,529154,3948266.81,7461.47,118.33,32.1,18.3328,10.532,25.621,0.5637,0.5637,5.899,3074.25,206.3,2.5433,113,18,131,4.5122,80,29
Australia,AUS,2018,Oceania,High income,Soybeans,3754570,23238277.74,6189.33,241.99,58.7,23.106,15.8951,29.7466,0.2997,0.2997,7.0671,4685.8,109.4,1.9478,189,0,189,6.4986,163,102
Germany,DEU,2019,Europe,High income,Soybeans,4617940,26594773.88,5759.01,219.27,45.1,10.3811,6.2493,14.4688,1.6584,1.5778,2.192,1185.55,605.3,2.8811,12,59,71,1.7373,6,2
Ukraine,UKR,2018,Europe,Lower middle income,Wheat,1945898,8849462.7,4547.75,114.28,27.3,10.3068,5.9715,14.7855,1.5101,1.0175,2.6115,1835.35,551.2,3.4378,23,122,145,2.2765,4,0
Japan,JPN,2017,East Asia,High income,Wheat,3109831,26569354.84,8543.67,155.59,,8.9512,5.0907,13.6732,4.2049,3.6849,2.4238,1335.4,1534.8,8.9349,0,140,140,2.1249,0,0
South Korea,KOR,2023,East Asia,High income,Wheat,170512,1596956.83,9365.66,139.69,38.9,11.4597,7.4238,16.0595,4.5348,4.3945,2.5537,1886.9,1655.2,12.1194,10,105,115,2.6725,0,0
Morocco,MAR,2015,North Africa,Lower middle income,Soybeans,5293147,15873958.9,2998.96,90.41,15.5,17.1616,10.5485,24.1447,1.7545,1.5926,3.8964,2830.95,640.4,4.1339,88,9,97,2.3561,68,36
Australia,AUS,2015,Oceania,High income,Wheat,2973937,22069833.44,7421.08,152.27,38.3,22.531,15.5605,28.9545,0.5471,0.5471,6.6599,4483.2,199.7,4.0163,180,0,180,7.3407,167,106
Australia,AUS,2017,Oceania,High income,Soybeans,3058404,15169462.29,,183.91,60.5,22.9422,15.9337,29.5307,0.3595,0.3595,6.7579,4648.65,131.2,1.7911,175,0,175,4.983,147,107
Uganda,UGA,2017,Sub-Saharan Africa,Low income,Rice,993632,5241502.11,5275.09,18.88,8.3,23.4715,18.7578,29.2055,2.7386,2.7386,4.5622,5103.3,999.6,4.1373,138,0,138,1.5107,68,2
France,FRA,2023,Europe,High income,Soybeans,2284021,11388438.77,4986.14,192.79,34.3,12.06,8.0285,16.4353,2.726,2.6526,2.3817,1489.1,995.0,4.8998,15,46,61,1.7974,5,0
Mexico,MEX,2018,Central America,Upper middle income,Rice,1155726,9102658.81,7876.14,140.26,22.2,18.0973,11.4847,25.4082,1.2975,1.2975,5.0705,3107.5,473.6,3.3309,40,6,46,2.5671,10,2
Brazil,BRA,2017,South America,Upper middle income,Maize,3613768,39239185.15,10858.25,94.69,31.9,26.5077,21.7822,32.4556,2.9474,2.9474,4.4722,6248.4,1075.8,6.3516,308,0,308,2.155,190,71
Pakistan,PAK,2021,South Asia,Lower middle income,Rice,2185370,15287644.21,6995.45,97.37,34.8,20.7419,13.8151,27.1545,0.4249,0.4249,5.223,3954.15,155.1,1.6333,153,27,180,3.8437,112,60
France,FRA,2020,Europe,High income,Maize,2787193,32222748.09,11561.0,246.1,56.7,12.0265,8.0254,16.323,2.2585,2.232,2.4003,1350.75,826.6,3.8586,15,20,35,1.7085,4,2
Indonesia,IDN,2021,Southeast Asia,Lower middle income,Wheat,941733,4721633.1,5013.77,63.25,26.2,25.6805,22.8586,30.2296,13.5392,13.5392,3.4017,6038.6,4941.8,14.8496,229,0,229,1.0968,41,0
Philippines,PHL,2023,Southeast Asia,Lower middle income,Soybeans,917806,3542832.43,3860.11,83.37,13.9,27.7288,26.4663,28.8726,5.7329,5.7329,4.5386,6449.35,2092.5,7.9905,51,0,51,1.3938,0,0
Ukraine,UKR,2020,Europe,Lower middle income,Soybeans,4867239,21889903.49,4497.4,,33.0,11.3413,7.1164,15.776,1.4003,1.2833,2.6061,1644.25,512.5,3.5526,25,90,115,2.5371,8,0
Nigeria,NGA,2023,Sub-Saharan Africa,Lower middle income,Rice,1947155,13516501.03,6941.67,92.43,22.9,25.3277,21.0395,30.583,2.8392,2.8392,4.4198,5771.1,1036.3,5.6663,194,0,194,1.9957,112,20
Canada,CAN,2021,North America,High income,Wheat,5714851,50004535.9,8749.93,219.45,35.7,0.3611,-4.1219,4.9159,1.3359,0.851,1.7221,720.15,487.6,2.9578,7,208,215,2.2141,4,0
Ethiopia,ETH,2015,Sub-Saharan Africa,Low income,Wheat,1658994,5287426.17,3187.13,17.47,,24.2912,18.4444,30.4879,0.7655,0.7655,5.5902,5280.15,279.4,2.2791,230,0,230,2.9773,112,0
United States,USA,2015,North America,High income,Soybeans,4591828,27828720.07,6060.49,186.79,28.0,13.1126,8.0025,18.8425,2.2589,2.111,3.6153,2347.85,824.5,5.9048,60,96,156,2.614,41,9
Kenya,KEN,2022,Sub-Saharan Africa,Low income,Maize,114826,805736.74,7017.02,23.15,15.6,24.6742,19.7307,30.3942,1.8679,1.8679,5.1877,5497.8,681.8,4.485,199,0,199,2.401,87,2
Uganda,UGA,2021,Sub-Saharan Africa,Low income,Rice,2013619,10847789.43,5387.21,22.15,10.7,23.6367,18.6964,29.5775,2.3337,2.3337,4.571,5160.0,851.8,4.2071,160,0,160,1.8028,68,1
Thailand,THA,2015,Southeast Asia,Upper middle income,Wheat,3306635,21569023.19,6522.95,51.14,24.2,27.2784,23.3781,31.7932,3.5877,3.5877,4.2315,6418.75,1309.5,5.7961,294,0,294,1.6156,170,37
Uganda,UGA,2022,Sub-Saharan Africa,Low income,Soybeans,279923,978592.06,3495.93,,8.5,23.5175,18.4816,29.8162,2.2915,2.2915,4.7147,5164.35,836.4,3.9821,161,0,161,1.7377,82,6
Ukraine,UKR,2015,Europe,Lower middle income,Wheat,1669331,7986198.06,4784.07,70.03,25.6,10.5,6.5107,14.3948,1.2597,1.14,2.5424,1582.4,459.8,3.0289,24,94,118,2.4044,11,0
Brazil,BRA,2015,South America,Upper middle income,Maize,2608851,28380945.77,10878.71,103.69,34.3,27.5093,23.2474,32.2518,3.0518,3.0518,4.5568,6478.6,1113.9,5.0765,293,0,293,1.6634,170,67
Vietnam,VNM,2017,Southeast Asia,Lower middle income,Rice,3701195,21414965.65,5785.96,64.07,38.1,21.8011,18.7236,26.4049,4.32,4.32,3.5445,4585.95,1576.8,8.116,26,0,26,1.8787,8,0
Turkey,TUR,2021,Middle East,Upper middle income,Wheat,2702255,17236736.65,6378.65,114.8,38.1,10.851,5.3551,16.6655,1.0501,0.7449,3.3911,1460.45,383.3,2.7144,20,100,120,2.5849,12,1
Bangladesh,BGD,2016,South Asia,Lower middle income,Maize,2031740,14306546.56,7041.52,64.77,25.6,25.7891,22.5257,29.8161,4.9317,4.9317,3.495,5918.55,1805.0,10.1781,212,0,212,2.0638,87,12
Japan,JPN,2022,East Asia,High income,Rice,3787117,39435952.92,10413.19,216.14,28.2,9.6192,5.5833,14.56,3.9573,3.417,2.5288,1489.75,1444.4,7.2883,1,116,117,1.8417,0,0
Canada,CAN,2020,North America,High income,Wheat,1537989,9563093.47,6217.92,193.71,61.5,-0.7978,-5.0721,3.4112,1.8019,1.306,1.4666,549.85,659.5,3.9761,0,216,216,2.2066,0,0
China,CHN,2018,East Asia,Upper middle income,Maize,644052,5340051.09,8291.34,110.43,17.1,8.0814,2.8918,13.8638,1.5959,1.449,2.8673,1198.2,582.5,4.1291,1,140,141,2.5873,0,0
Canada,CAN,2017,North America,High income,Rice,2538390,28445948.63,11206.3,228.0,37.4,0.2151,-4.1775,4.5285,1.5712,1.0526,1.7344,694.75,573.5,4.3114,0,207,207,2.744,0,0
Nepal,NPL,2017,South Asia,Low income,Rice,621438,3038648.72,4889.71,26.55,6.7,13.6611,9.9079,17.1685,12.9249,12.9247,2.6576,1537.1,4717.6,21.6627,0,8,8,1.676,0,0
"Korea, Republic of",KOR,2015,East Asia,High income,Maize,4251472,51630427.05,12144.13,187.8,36.1,11.5688,7.737,15.9773,2.5822,2.5126,2.5228,1785.65,942.5,6.7092,10,100,110,2.5982,2,0
Mexico,MEX,2023,Central America,Upper middle income,Wheat,3983460,26467414.13,,152.83,30.8,19.2373,11.9416,27.0167,0.6688,0.6688,5.7268,3467.95,244.1,2.5293,103,1,104,3.7821,34,8
Argentina,ARG,2015,South America,Upper middle income,Maize,1906667,16688414.22,8752.66,149.1,29.8,16.1614,11.1723,21.6351,1.3197,1.3197,4.0221,2470.25,481.7,4.2383,52,8,60,3.2115,24,5
Kenya,KEN,2019,Sub-Saharan Africa,Low income,Wheat,277160,933812.59,3369.22,25.94,8.1,24.6378,20.2466,30.1515,4.2586,4.2586,4.802,5547.65,1554.4,10.9436,185,0,185,2.5697,76,3
Ethiopia,ETH,2023,Sub-Saharan Africa,Low income,Rice,357796,1955719.02,5466.02,40.91,8.3,23.0003,17.7863,28.9726,2.7405,2.7405,5.2186,4883.5,1000.3,5.9112,140,0,140,2.157,39,0
Ukraine,UKR,2020,Europe,Lower middle income,Wheat,2860567,12633207.06,4416.33,97.88,5.9,11.3413,7.1164,15.776,1.4003,1.2833,2.6061,1644.25,512.5,3.5526,25,90,115,2.5371,8,0
Pakistan,PAK,2021,South Asia,Lower middle income,Soybeans,2657881,8504792.9,3199.84,69.21,25.8,20.7419,13.8151,27.1545,0.4249,0.4249,5.223,3954.15,155.1,1.6333,153,27,180,3.8437,112,60
Bangladesh,BGD,2018,South Asia,Lower middle income,Wheat,3431180,17669955.36,5149.82,73.8,35.6,24.8129,20.9523,29.5811,4.5266,4.5266,3.4489,5572.35,1652.2,8.5726,213,0,213,1.8938,86,2
Kenya,KEN,2018,Sub-Saharan Africa,Low income,Wheat,205357,744024.86,3623.08,34.23,17.2,23.9419,19.7485,29.2112,3.1718,3.1718,4.6114,5285.15,1157.7,6.3492,118,0,118,2.0018,45,1
"Korea, Republic of",KOR,2016,East Asia,High income,Maize,3816651,50521646.09,13237.17,151.43,45.0,11.7421,7.9852,16.1637,3.1066,3.0227,2.5053,1989.95,1137.0,10.3181,24,103,127,3.3214,6,0
India,IND,2020,South Asia,Lower middle income,Rice,575770,2988542.72,5190.51,72.13,27.4,27.1399,22.4333,32.5413,3.5399,3.5399,4.5343,6400.35,1295.6,8.1058,256,0,256,2.2899,163,80
